,Title,Links,Detail,Price,Ratings
120,Apartment in Honolulu,https://www.airbnb.com/rooms/656368710049916184?check_in=2022-08-14&check_out=2022-09-05&previous_page_section_name=1000&federated_search_id=d341d4c1-2532-4e32-9dff-8c6677d918fa,2 beds,$366 per night,New
121,Home in Haleiwa,https://www.airbnb.com/rooms/54128802?check_in=2022-08-14&check_out=2022-09-05&previous_page_section_name=1000&federated_search_id=41d5f098-ce64-4dbc-b399-75094de87178,7 beds,"$1,192 per night",New
122,Chalet in Honolulu,https://www.airbnb.com/rooms/16441239?check_in=2022-08-14&check_out=2022-09-05&previous_page_section_name=1000&federated_search_id=41d5f098-ce64-4dbc-b399-75094de87178,2 beds,$541 per night,3.75 (4)
123,Resort in Honolulu,https://www.airbnb.com/rooms/609762221065495126?check_in=2022-08-14&check_out=2022-09-05&previous_page_section_name=1000&federated_search_id=41d5f098-ce64-4dbc-b399-75094de87178,4 beds,"$1,364 per night",New
124,Condo in Honolulu,https://www.airbnb.com/rooms/53328513?check_in=2022-08-14&check_out=2022-09-05&previous_page_section_name=1000&federated_search_id=41d5f098-ce64-4dbc-b399-75094de87178,2 beds,$459 per night,New
125,Hotel room in Honolulu,https://www.airbnb.com/rooms/685633837088619566?check_in=2022-08-14&check_out=2022-09-05&previous_page_section_name=1000&federated_search_id=41d5f098-ce64-4dbc-b399-75094de87178,1 bed,"$544 per night, originally $663",New
126,Hotel room in Honolulu,https://www.airbnb.com/rooms/51813502?check_in=2022-08-14&check_out=2022-09-05&previous_page_section_name=1000&federated_search_id=41d5f098-ce64-4dbc-b399-75094de87178,1 bed,$802 per night,New
127,Home in Honolulu,https://www.airbnb.com/rooms/16215566?check_in=2022-08-14&check_out=2022-09-05&previous_page_section_name=1000&federated_search_id=41d5f098-ce64-4dbc-b399-75094de87178,7 beds,"$2,239 per night",New
128,Hotel room in Honolulu,https://www.airbnb.com/rooms/53170292?check_in=2022-08-14&check_out=2022-09-05&previous_page_section_name=1000&federated_search_id=41d5f098-ce64-4dbc-b399-75094de87178,1 king bed,"$1,130 per night",New
129,Resort in Honolulu,https://www.airbnb.com/rooms/54329182?check_in=2022-08-14&check_out=2022-09-05&previous_page_section_name=1000&federated_search_id=41d5f098-ce64-4dbc-b399-75094de87178,1 king bed,$642 per night,New
130,Hotel room in Honolulu,https://www.airbnb.com/rooms/53233388?check_in=2022-08-14&check_out=2022-09-05&previous_page_section_name=1000&federated_search_id=41d5f098-ce64-4dbc-b399-75094de87178,1 king bed,$919 per night,New
131,Condo in Honolulu,https://www.airbnb.com/rooms/30733041?check_in=2022-08-14&check_out=2022-09-05&previous_page_section_name=1000&federated_search_id=41d5f098-ce64-4dbc-b399-75094de87178,4 beds,$660 per night,3.55 (12)
132,Apartment in Honolulu,https://www.airbnb.com/rooms/652856976216375721?check_in=2022-08-14&check_out=2022-09-05&previous_page_section_name=1000&federated_search_id=41d5f098-ce64-4dbc-b399-75094de87178,2 beds,$771 per night,New
133,Home in Honolulu,https://www.airbnb.com/rooms/50356233?check_in=2022-08-14&check_out=2022-09-05&previous_page_section_name=1000&federated_search_id=41d5f098-ce64-4dbc-b399-75094de87178,7 beds,"$1,925 per night",New
134,Home in Haleiwa,https://www.airbnb.com/rooms/53831465?check_in=2022-08-14&check_out=2022-09-05&previous_page_section_name=1000&federated_search_id=41d5f098-ce64-4dbc-b399-75094de87178,3 beds,"$3,125 per night",New
135,Condo in Honolulu,https://www.airbnb.com/rooms/54092734?check_in=2022-08-14&check_out=2022-09-05&previous_page_section_name=1000&federated_search_id=41d5f098-ce64-4dbc-b399-75094de87178,3 beds,$691 per night,New
136,Apartment in Honolulu,https://www.airbnb.com/rooms/675981006192530970?check_in=2022-08-14&check_out=2022-09-05&previous_page_section_name=1000&federated_search_id=41d5f098-ce64-4dbc-b399-75094de87178,1 bed,$417 per night,New
137,Hotel room in Honolulu,https://www.airbnb.com/rooms/53702394?check_in=2022-08-14&check_out=2022-09-05&previous_page_section_name=1000&federated_search_id=41d5f098-ce64-4dbc-b399-75094de87178,2 beds,$650 per night,New
138,Home in Honolulu,https://www.airbnb.com/rooms/54384993?check_in=2022-08-14&check_out=2022-09-05&previous_page_section_name=1000&federated_search_id=41d5f098-ce64-4dbc-b399-75094de87178,4 king beds,"$11,072 per night",New
139,Home in Haleiwa,https://www.airbnb.com/rooms/54037346?check_in=2022-08-14&check_out=2022-09-05&previous_page_section_name=1000&federated_search_id=41d5f098-ce64-4dbc-b399-75094de87178,6 beds,"$1,036 per night",New
140,Resort in Honolulu,https://www.airbnb.com/rooms/46707446?check_in=2022-08-14&check_out=2022-09-05&previous_page_section_name=1000&federated_search_id=41d5f098-ce64-4dbc-b399-75094de87178,4 beds,"$2,619 per night",New
141,Apartment in Honolulu,https://www.airbnb.com/rooms/675981006192530970?check_in=2022-08-14&check_out=2022-09-05&previous_page_section_name=1000&federated_search_id=3919ff79-65f7-4b02-bf32-f6be641f602d,1 bed,$417 per night,New
142,Hotel room in Honolulu,https://www.airbnb.com/rooms/53702062?check_in=2022-08-14&check_out=2022-09-05&previous_page_section_name=1000&federated_search_id=3919ff79-65f7-4b02-bf32-f6be641f602d,1 bed,$616 per night,New
143,Resort in Honolulu,https://www.airbnb.com/rooms/27503235?check_in=2022-08-14&check_out=2022-09-05&previous_page_section_name=1000&federated_search_id=3919ff79-65f7-4b02-bf32-f6be641f602d,2 beds,$571 per night,New
144,Resort in Honolulu,https://www.airbnb.com/rooms/49552505?check_in=2022-08-14&check_out=2022-09-05&previous_page_section_name=1000&federated_search_id=3919ff79-65f7-4b02-bf32-f6be641f602d,2 double beds,$738 per night,New
145,Hotel room in Honolulu,https://www.airbnb.com/rooms/53172515?check_in=2022-08-14&check_out=2022-09-05&previous_page_section_name=1000&federated_search_id=3919ff79-65f7-4b02-bf32-f6be641f602d,,"$1,182 per night",New
146,Home in Waianae,https://www.airbnb.com/rooms/49234591?check_in=2022-08-14&check_out=2022-09-05&previous_page_section_name=1000&federated_search_id=3919ff79-65f7-4b02-bf32-f6be641f602d,6 beds,$564 per night,New
147,Apartment in Honolulu,https://www.airbnb.com/rooms/635362017774664628?check_in=2022-08-14&check_out=2022-09-05&previous_page_section_name=1000&federated_search_id=3919ff79-65f7-4b02-bf32-f6be641f602d,1 bed,$402 per night,New
148,Home in Honolulu,https://www.airbnb.com/rooms/615355497316812169?check_in=2022-08-14&check_out=2022-09-05&previous_page_section_name=1000&federated_search_id=3919ff79-65f7-4b02-bf32-f6be641f602d,10 beds,"$3,431 per night",New
149,Resort in Honolulu,https://www.airbnb.com/rooms/609762221065495126?check_in=2022-08-14&check_out=2022-09-05&previous_page_section_name=1000&federated_search_id=3919ff79-65f7-4b02-bf32-f6be641f602d,4 beds,"$1,364 per night",New
150,Hotel room in Honolulu,https://www.airbnb.com/rooms/53170941?check_in=2022-08-14&check_out=2022-09-05&previous_page_section_name=1000&federated_search_id=3919ff79-65f7-4b02-bf32-f6be641f602d,1 queen bed,"$1,792 per night",New
151,Resort in Honolulu,https://www.airbnb.com/rooms/46549364?check_in=2022-08-14&check_out=2022-09-05&previous_page_section_name=1000&federated_search_id=3919ff79-65f7-4b02-bf32-f6be641f602d,1 king bed,$656 per night,New
152,Resort in Honolulu,https://www.airbnb.com/rooms/551426227140654142?check_in=2022-08-14&check_out=2022-09-05&previous_page_section_name=1000&federated_search_id=3919ff79-65f7-4b02-bf32-f6be641f602d,2 beds,"$1,370 per night",New
153,Condo in Honolulu,https://www.airbnb.com/rooms/40803517?check_in=2022-08-14&check_out=2022-09-05&previous_page_section_name=1000&federated_search_id=3919ff79-65f7-4b02-bf32-f6be641f602d,2 beds,$394 per night,New
154,Private room in Haleiwa,https://www.airbnb.com/rooms/21532200?check_in=2022-08-14&check_out=2022-09-05&previous_page_section_name=1000&federated_search_id=3919ff79-65f7-4b02-bf32-f6be641f602d,1 bed,"$275 per night, originally $335",4.69 (13)
155,Hotel room in Honolulu,https://www.airbnb.com/rooms/53265066?check_in=2022-08-14&check_out=2022-09-05&previous_page_section_name=1000&federated_search_id=3919ff79-65f7-4b02-bf32-f6be641f602d,2 beds,"$10,167 per night",New
156,Condo in Honolulu,https://www.airbnb.com/rooms/30733041?check_in=2022-08-14&check_out=2022-09-05&previous_page_section_name=1000&federated_search_id=3919ff79-65f7-4b02-bf32-f6be641f602d,4 beds,$660 per night,3.55 (12)
157,Hotel room in Honolulu,https://www.airbnb.com/rooms/663011543748320272?check_in=2022-08-14&check_out=2022-09-05&previous_page_section_name=1000&federated_search_id=3919ff79-65f7-4b02-bf32-f6be641f602d,3 beds,"$1,091 per night",New
158,Condo in Honolulu,https://www.airbnb.com/rooms/40965621?check_in=2022-08-14&check_out=2022-09-05&previous_page_section_name=1000&federated_search_id=3919ff79-65f7-4b02-bf32-f6be641f602d,4 beds,$736 per night,New
159,Resort in Honolulu,https://www.airbnb.com/rooms/49712639?check_in=2022-08-14&check_out=2022-09-05&previous_page_section_name=1000&federated_search_id=3919ff79-65f7-4b02-bf32-f6be641f602d,1 king bed,$656 per night,New
160,Hotel room in Honolulu,https://www.airbnb.com/rooms/53701961?check_in=2022-08-14&check_out=2022-09-05&previous_page_section_name=1000&federated_search_id=3919ff79-65f7-4b02-bf32-f6be641f602d,2 beds,$596 per night,New
161,Hotel room in Honolulu,https://www.airbnb.com/rooms/53265066?check_in=2022-08-14&check_out=2022-09-05&previous_page_section_name=1000&federated_search_id=b794e9ce-b220-4405-9a77-7b8c93a8ec88,2 beds,"$10,167 per night",New
162,Hotel room in Honolulu,https://www.airbnb.com/rooms/666706503061708903?check_in=2022-08-14&check_out=2022-09-05&previous_page_section_name=1000&federated_search_id=b794e9ce-b220-4405-9a77-7b8c93a8ec88,2 beds,$979 per night,New
163,Hotel room in Honolulu,https://www.airbnb.com/rooms/53701961?check_in=2022-08-14&check_out=2022-09-05&previous_page_section_name=1000&federated_search_id=b794e9ce-b220-4405-9a77-7b8c93a8ec88,2 beds,$596 per night,New
164,Condo in Honolulu,https://www.airbnb.com/rooms/53257069?check_in=2022-08-14&check_out=2022-09-05&previous_page_section_name=1000&federated_search_id=b794e9ce-b220-4405-9a77-7b8c93a8ec88,2 beds,$459 per night,New
165,Apartment in Honolulu,https://www.airbnb.com/rooms/607927911720868498?check_in=2022-08-14&check_out=2022-09-05&previous_page_section_name=1000&federated_search_id=b794e9ce-b220-4405-9a77-7b8c93a8ec88,3 beds,$577 per night,New
166,Condo in Honolulu,https://www.airbnb.com/rooms/15493119?check_in=2022-08-14&check_out=2022-09-05&previous_page_section_name=1000&federated_search_id=b794e9ce-b220-4405-9a77-7b8c93a8ec88,4 beds,"$1,027 per night",5.0 (5)
167,Villa in Honolulu,https://www.airbnb.com/luxury/listing/37831235?check_in=2022-08-14&check_out=2022-09-05&previous_page_section_name=1000&federated_search_id=b794e9ce-b220-4405-9a77-7b8c93a8ec88,2 king beds,"$9,100 per night",New
168,Hotel room in Honolulu,https://www.airbnb.com/rooms/53890181?check_in=2022-08-14&check_out=2022-09-05&previous_page_section_name=1000&federated_search_id=b794e9ce-b220-4405-9a77-7b8c93a8ec88,2 beds,$990 per night,New
169,Condo in Honolulu,https://www.airbnb.com/rooms/40965621?check_in=2022-08-14&check_out=2022-09-05&previous_page_section_name=1000&federated_search_id=b794e9ce-b220-4405-9a77-7b8c93a8ec88,4 beds,$736 per night,New
170,Condo in Honolulu,https://www.airbnb.com/rooms/53697137?check_in=2022-08-14&check_out=2022-09-05&previous_page_section_name=1000&federated_search_id=b794e9ce-b220-4405-9a77-7b8c93a8ec88,1 king bed,$459 per night,New
171,Resort in Honolulu,https://www.airbnb.com/rooms/42543983?check_in=2022-08-14&check_out=2022-09-05&previous_page_section_name=1000&federated_search_id=b794e9ce-b220-4405-9a77-7b8c93a8ec88,2 beds,"$3,366 per night",New
172,Home in Honolulu,https://www.airbnb.com/rooms/2811961?check_in=2022-08-14&check_out=2022-09-05&previous_page_section_name=1000&federated_search_id=b794e9ce-b220-4405-9a77-7b8c93a8ec88,9 beds,"$8,400 per night",New
173,Home in Waianae,https://www.airbnb.com/rooms/548544998112512099?check_in=2022-08-14&check_out=2022-09-05&previous_page_section_name=1000&federated_search_id=b794e9ce-b220-4405-9a77-7b8c93a8ec88,7 beds,$684 per night,New
174,Condo in Honolulu,https://www.airbnb.com/rooms/53965120?check_in=2022-08-14&check_out=2022-09-05&previous_page_section_name=1000&federated_search_id=b794e9ce-b220-4405-9a77-7b8c93a8ec88,2 beds,$459 per night,New
175,Resort in Honolulu,https://www.airbnb.com/rooms/27503235?check_in=2022-08-14&check_out=2022-09-05&previous_page_section_name=1000&federated_search_id=b794e9ce-b220-4405-9a77-7b8c93a8ec88,2 beds,$571 per night,New
176,Hotel room in Honolulu,https://www.airbnb.com/rooms/53314776?check_in=2022-08-14&check_out=2022-09-05&previous_page_section_name=1000&federated_search_id=b794e9ce-b220-4405-9a77-7b8c93a8ec88,4 beds,"$10,170 per night",New
177,Hotel room in Honolulu,https://www.airbnb.com/rooms/53615968?check_in=2022-08-14&check_out=2022-09-05&previous_page_section_name=1000&federated_search_id=b794e9ce-b220-4405-9a77-7b8c93a8ec88,3 beds,"$1,186 per night",New
178,Home in Honolulu,https://www.airbnb.com/rooms/54196167?check_in=2022-08-14&check_out=2022-09-05&previous_page_section_name=1000&federated_search_id=b794e9ce-b220-4405-9a77-7b8c93a8ec88,6 beds,"$9,651 per night",New
179,Apartment in Honolulu,https://www.airbnb.com/rooms/635362017774664628?check_in=2022-08-14&check_out=2022-09-05&previous_page_section_name=1000&federated_search_id=b794e9ce-b220-4405-9a77-7b8c93a8ec88,1 bed,$402 per night,New
180,Resort in Honolulu,https://www.airbnb.com/rooms/47338760?check_in=2022-08-14&check_out=2022-09-05&previous_page_section_name=1000&federated_search_id=b794e9ce-b220-4405-9a77-7b8c93a8ec88,2 beds,$738 per night,New
181,Condo in Waikiki,https://www.airbnb.com/rooms/53933962?check_in=2022-08-14&check_out=2022-09-05&previous_page_section_name=1000&federated_search_id=71eeb5ef-0744-4c07-89e9-8e272b226803,2 beds,$459 per night,New
182,Hotel room in Waikiki,https://www.airbnb.com/rooms/53170680?check_in=2022-08-14&check_out=2022-09-05&previous_page_section_name=1000&federated_search_id=71eeb5ef-0744-4c07-89e9-8e272b226803,2 beds,$981 per night,New
183,Condo in Waikiki,https://www.airbnb.com/rooms/53934134?check_in=2022-08-14&check_out=2022-09-05&previous_page_section_name=1000&federated_search_id=71eeb5ef-0744-4c07-89e9-8e272b226803,3 beds,$628 per night,New
184,Hotel room in Kahala-Waialae,https://www.airbnb.com/rooms/53315150?check_in=2022-08-14&check_out=2022-09-05&previous_page_section_name=1000&federated_search_id=71eeb5ef-0744-4c07-89e9-8e272b226803,2 beds,"$9,040 per night",New
185,Apartment in Waikiki,https://www.airbnb.com/rooms/41897311?check_in=2022-08-14&check_out=2022-09-05&previous_page_section_name=1000&federated_search_id=71eeb5ef-0744-4c07-89e9-8e272b226803,2 beds,$571 per night,New
186,Apartment in Waikiki,https://www.airbnb.com/rooms/628093631105565556?check_in=2022-08-14&check_out=2022-09-05&previous_page_section_name=1000&federated_search_id=71eeb5ef-0744-4c07-89e9-8e272b226803,3 beds,$740 per night,New
187,Resort in Waikiki,https://www.airbnb.com/rooms/42544751?check_in=2022-08-14&check_out=2022-09-05&previous_page_section_name=1000&federated_search_id=71eeb5ef-0744-4c07-89e9-8e272b226803,4 beds,"$1,478 per night",New
188,Private room in Ala Moana,https://www.airbnb.com/rooms/39946323?check_in=2022-08-14&check_out=2022-09-05&previous_page_section_name=1000&federated_search_id=71eeb5ef-0744-4c07-89e9-8e272b226803,2 queen beds,$175 per night,5.0 (4)
189,Apartment in Waikiki,https://www.airbnb.com/rooms/639279757439019972?check_in=2022-08-14&check_out=2022-09-05&previous_page_section_name=1000&federated_search_id=71eeb5ef-0744-4c07-89e9-8e272b226803,3 beds,$743 per night,New
190,Resort in Waikiki,https://www.airbnb.com/rooms/50681547?check_in=2022-08-14&check_out=2022-09-05&previous_page_section_name=1000&federated_search_id=71eeb5ef-0744-4c07-89e9-8e272b226803,3 beds,"$1,135 per night",New
191,Resort in Waikiki,https://www.airbnb.com/rooms/609692138842591563?check_in=2022-08-14&check_out=2022-09-05&previous_page_section_name=1000&federated_search_id=71eeb5ef-0744-4c07-89e9-8e272b226803,4 beds,"$1,592 per night",New
192,Resort in Waikiki,https://www.airbnb.com/rooms/42561933?check_in=2022-08-14&check_out=2022-09-05&previous_page_section_name=1000&federated_search_id=71eeb5ef-0744-4c07-89e9-8e272b226803,5 beds,"$1,706 per night",New
193,Hotel room in Honolulu,https://www.airbnb.com/rooms/685613269358175382?check_in=2022-08-14&check_out=2022-09-05&previous_page_section_name=1000&federated_search_id=71eeb5ef-0744-4c07-89e9-8e272b226803,1 bed,"$526 per night, originally $641",New
194,Hotel room in Waikiki,https://www.airbnb.com/rooms/666696022786065743?check_in=2022-08-14&check_out=2022-09-05&previous_page_section_name=1000&federated_search_id=71eeb5ef-0744-4c07-89e9-8e272b226803,2 beds,$756 per night,New
195,Condo in Waikiki,https://www.airbnb.com/rooms/515044886720126057?check_in=2022-08-14&check_out=2022-09-05&previous_page_section_name=1000&federated_search_id=71eeb5ef-0744-4c07-89e9-8e272b226803,3 beds,"$1,027 per night",New
196,Resort in Waikiki,https://www.airbnb.com/rooms/49552505?check_in=2022-08-14&check_out=2022-09-05&previous_page_section_name=1000&federated_search_id=71eeb5ef-0744-4c07-89e9-8e272b226803,2 double beds,$738 per night,New
197,Apartment in Waikiki,https://www.airbnb.com/rooms/35099577?check_in=2022-08-14&check_out=2022-09-05&previous_page_section_name=1000&federated_search_id=71eeb5ef-0744-4c07-89e9-8e272b226803,5 beds,"$1,825 per night",New
198,Hotel room in Waikiki,https://www.airbnb.com/rooms/663011543748320272?check_in=2022-08-14&check_out=2022-09-05&previous_page_section_name=1000&federated_search_id=71eeb5ef-0744-4c07-89e9-8e272b226803,3 beds,"$1,091 per night",New
199,Hotel room in Waikiki,https://www.airbnb.com/rooms/54007148?check_in=2022-08-14&check_out=2022-09-05&previous_page_section_name=1000&federated_search_id=71eeb5ef-0744-4c07-89e9-8e272b226803,2 beds,$970 per night,New
200,Hotel room in Waikiki,https://www.airbnb.com/rooms/53385741?check_in=2022-08-14&check_out=2022-09-05&previous_page_section_name=1000&federated_search_id=71eeb5ef-0744-4c07-89e9-8e272b226803,3 beds,"$1,151 per night",New
201,Hotel room in Honolulu,https://www.airbnb.com/rooms/51557159?check_in=2022-08-14&check_out=2022-09-05&previous_page_section_name=1000&federated_search_id=7b49b015-4907-4e9c-8908-9e6b1e021847,2 beds,"$3,492 per night",New
202,Hotel room in Honolulu,https://www.airbnb.com/rooms/51520597?check_in=2022-08-14&check_out=2022-09-05&previous_page_section_name=1000&federated_search_id=7b49b015-4907-4e9c-8908-9e6b1e021847,2 beds,$758 per night,New
203,Home in Honolulu,https://www.airbnb.com/rooms/31587563?check_in=2022-08-14&check_out=2022-09-05&previous_page_section_name=1000&federated_search_id=7b49b015-4907-4e9c-8908-9e6b1e021847,4 king beds,"$4,343 per night",New
204,Hotel room in Honolulu,https://www.airbnb.com/rooms/53243244?check_in=2022-08-14&check_out=2022-09-05&previous_page_section_name=1000&federated_search_id=7b49b015-4907-4e9c-8908-9e6b1e021847,2 king beds,"$10,201 per night",New
205,Hotel room in Honolulu,https://www.airbnb.com/rooms/54007121?check_in=2022-08-14&check_out=2022-09-05&previous_page_section_name=1000&federated_search_id=7b49b015-4907-4e9c-8908-9e6b1e021847,1 bed,$514 per night,New
206,Hotel room in Honolulu,https://www.airbnb.com/rooms/54007148?check_in=2022-08-14&check_out=2022-09-05&previous_page_section_name=1000&federated_search_id=7b49b015-4907-4e9c-8908-9e6b1e021847,2 beds,$970 per night,New
207,Resort in Honolulu,https://www.airbnb.com/rooms/42544751?check_in=2022-08-14&check_out=2022-09-05&previous_page_section_name=1000&federated_search_id=7b49b015-4907-4e9c-8908-9e6b1e021847,4 beds,"$1,478 per night",New
208,Home in Honolulu,https://www.airbnb.com/rooms/54196167?check_in=2022-08-14&check_out=2022-09-05&previous_page_section_name=1000&federated_search_id=7b49b015-4907-4e9c-8908-9e6b1e021847,6 beds,"$9,651 per night",New
209,Hotel room in Honolulu,https://www.airbnb.com/rooms/53184130?check_in=2022-08-14&check_out=2022-09-05&previous_page_section_name=1000&federated_search_id=7b49b015-4907-4e9c-8908-9e6b1e021847,2 double beds,"$1,272 per night",New
210,Home in Haleiwa,https://www.airbnb.com/rooms/54037346?check_in=2022-08-14&check_out=2022-09-05&previous_page_section_name=1000&federated_search_id=7b49b015-4907-4e9c-8908-9e6b1e021847,6 beds,"$1,036 per night",New
211,Hotel room in Honolulu,https://www.airbnb.com/rooms/53385741?check_in=2022-08-14&check_out=2022-09-05&previous_page_section_name=1000&federated_search_id=7b49b015-4907-4e9c-8908-9e6b1e021847,3 beds,"$1,151 per night",New
212,Hotel room in Honolulu,https://www.airbnb.com/rooms/50747302?check_in=2022-08-14&check_out=2022-09-05&previous_page_section_name=1000&federated_search_id=7b49b015-4907-4e9c-8908-9e6b1e021847,2 queen beds,"$3,492 per night",New
213,Hotel room in Honolulu,https://www.airbnb.com/rooms/53172175?check_in=2022-08-14&check_out=2022-09-05&previous_page_section_name=1000&federated_search_id=7b49b015-4907-4e9c-8908-9e6b1e021847,1 bed,"$1,614 per night",New
214,Home in Honolulu,https://www.airbnb.com/rooms/50356233?check_in=2022-08-14&check_out=2022-09-05&previous_page_section_name=1000&federated_search_id=7b49b015-4907-4e9c-8908-9e6b1e021847,7 beds,"$1,925 per night",New
215,Bus in Waialua,https://www.airbnb.com/rooms/35469266?check_in=2022-08-14&check_out=2022-09-05&previous_page_section_name=1000&federated_search_id=7b49b015-4907-4e9c-8908-9e6b1e021847,2 sofa beds,$211 per night,New
216,Apartment in Honolulu,https://www.airbnb.com/rooms/35099577?check_in=2022-08-14&check_out=2022-09-05&previous_page_section_name=1000&federated_search_id=7b49b015-4907-4e9c-8908-9e6b1e021847,5 beds,"$1,825 per night",New
217,Home in Honolulu,https://www.airbnb.com/rooms/2811961?check_in=2022-08-14&check_out=2022-09-05&previous_page_section_name=1000&federated_search_id=7b49b015-4907-4e9c-8908-9e6b1e021847,9 beds,"$8,400 per night",New
218,Resort in Honolulu,https://www.airbnb.com/rooms/42561933?check_in=2022-08-14&check_out=2022-09-05&previous_page_section_name=1000&federated_search_id=7b49b015-4907-4e9c-8908-9e6b1e021847,5 beds,"$1,706 per night",New
219,Home in Honolulu,https://www.airbnb.com/rooms/54196295?check_in=2022-08-14&check_out=2022-09-05&previous_page_section_name=1000&federated_search_id=7b49b015-4907-4e9c-8908-9e6b1e021847,8 beds,"$11,988 per night",New
220,Hotel room in Honolulu,https://www.airbnb.com/rooms/53239234?check_in=2022-08-14&check_out=2022-09-05&previous_page_section_name=1000&federated_search_id=7b49b015-4907-4e9c-8908-9e6b1e021847,2 queen beds,$786 per night,New
221,Hotel room in Honolulu,https://www.airbnb.com/rooms/53784697?check_in=2022-08-14&check_out=2022-09-05&previous_page_section_name=1000&federated_search_id=8e934ecc-fa0d-4576-9be5-561c58062151,1 king bed,$707 per night,New
222,Resort in Honolulu,https://www.airbnb.com/rooms/609770214123389117?check_in=2022-08-14&check_out=2022-09-05&previous_page_section_name=1000&federated_search_id=8e934ecc-fa0d-4576-9be5-561c58062151,4 beds,"$1,655 per night",New
223,Home in Haleiwa,https://www.airbnb.com/rooms/53831465?check_in=2022-08-14&check_out=2022-09-05&previous_page_section_name=1000&federated_search_id=8e934ecc-fa0d-4576-9be5-561c58062151,3 beds,"$3,125 per night",New
224,Hotel room in Honolulu,https://www.airbnb.com/rooms/53239165?check_in=2022-08-14&check_out=2022-09-05&previous_page_section_name=1000&federated_search_id=8e934ecc-fa0d-4576-9be5-561c58062151,2 beds,"$2,034 per night",New
225,Resort in Honolulu,https://www.airbnb.com/rooms/42544361?check_in=2022-08-14&check_out=2022-09-05&previous_page_section_name=1000&federated_search_id=8e934ecc-fa0d-4576-9be5-561c58062151,3 beds,"$2,220 per night",New
226,Hotel room in Honolulu,https://www.airbnb.com/rooms/53239198?check_in=2022-08-14&check_out=2022-09-05&previous_page_section_name=1000&federated_search_id=8e934ecc-fa0d-4576-9be5-561c58062151,2 beds,$990 per night,New
227,Hotel room in Honolulu,https://www.airbnb.com/rooms/54008194?check_in=2022-08-14&check_out=2022-09-05&previous_page_section_name=1000&federated_search_id=8e934ecc-fa0d-4576-9be5-561c58062151,2 beds,$827 per night,New
228,Resort in Honolulu,https://www.airbnb.com/rooms/50211377?check_in=2022-08-14&check_out=2022-09-05&previous_page_section_name=1000&federated_search_id=8e934ecc-fa0d-4576-9be5-561c58062151,4 beds,"$3,937 per night",New
229,Hotel room in Honolulu,https://www.airbnb.com/rooms/53385469?check_in=2022-08-14&check_out=2022-09-05&previous_page_section_name=1000&federated_search_id=8e934ecc-fa0d-4576-9be5-561c58062151,3 beds,"$3,492 per night",New
230,Hotel room in Honolulu,https://www.airbnb.com/rooms/37370571?check_in=2022-08-14&check_out=2022-09-05&previous_page_section_name=1000&federated_search_id=8e934ecc-fa0d-4576-9be5-561c58062151,3 beds,"$1,442 per night",New
231,Hotel room in Honolulu,https://www.airbnb.com/rooms/51556924?check_in=2022-08-14&check_out=2022-09-05&previous_page_section_name=1000&federated_search_id=8e934ecc-fa0d-4576-9be5-561c58062151,2 beds,"$3,492 per night",New
232,Hotel room in Honolulu,https://www.airbnb.com/rooms/53792432?check_in=2022-08-14&check_out=2022-09-05&previous_page_section_name=1000&federated_search_id=8e934ecc-fa0d-4576-9be5-561c58062151,3 beds,"$1,484 per night",New
233,Apartment in Honolulu,https://www.airbnb.com/rooms/39944606?check_in=2022-08-14&check_out=2022-09-05&previous_page_section_name=1000&federated_search_id=8e934ecc-fa0d-4576-9be5-561c58062151,5 beds,"$777 per night, originally $897",New
234,Home in Honolulu,https://www.airbnb.com/rooms/51974057?check_in=2022-08-14&check_out=2022-09-05&previous_page_section_name=1000&federated_search_id=8e934ecc-fa0d-4576-9be5-561c58062151,11 beds,"$4,714 per night",New
